,El-array,xA (m),xB (m),xM (m),xN (m),Global xA (m),Global xB (m),Global xM (m),Global xN (m),Rho (Ohm.m),Dev. M,Dev. Rho (%),M (mV/V),SP (mV),VMN (mV),IAB (mA),TX RX,Time (ms),Coef. k (m),Dev. coef. k (%),Metal factor,yA (m),yB (m),yM (m),yN (m),Global yA (m),Global yB (m),Global yM (m),Global yN (m),zA (m),zB (m),zM (m),zN (m),Global zA (m),Global zB (m),Global zM (m),Global zN (m),N° electrode A,N° electrode B,N° electrode M,N° electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Water Depth,Water resitivity,Rising PP,M1 (mV/V),M2 (mV/V),M3 (mV/V),M4 (mV/V),M5 (mV/V),M6 (mV/V),M7 (mV/V),M8 (mV/V),M9 (mV/V),M10 (mV/V),M11 (mV/V),M12 (mV/V),M13 (mV/V),M14 (mV/V),M15 (mV/V),M16 (mV/V),M17 (mV/V),M18 (mV/V),M19 (mV/V),M20 (mV/V),Mdly (ms),TM1 (ms),TM2 (ms),TM3 (ms),TM4 (ms),TM5 (ms),TM6 (ms),TM7 (ms),TM8 (ms),TM9 (ms),TM10 (ms),TM11 (ms),TM12 (ms),TM13 (ms),TM14 (ms),TM15 (ms),TM16 (ms),TM17 (ms),TM18 (ms),TM19 (ms),TM20 (ms),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (°C),Rx-Bat (V),Rx Temp. (°C),Date,Gapfiller,Synch,Continuous survey marker,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,10.00,13.00,11.00,12.00,10.00,13.00,11.00,12.00,4.79,8.62,1.16,-31.52,-534.25,36.430,47.830,tx rx 50%,500,6.28,400.000,-6585.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11,14,12,13,0.00,0.00,0.00,0.00,0.00,0.00,false,-39.50,-53.27,-44.56,-41.76,-38.90,-36.19,-33.99,-32.03,-30.27,-28.70,-27.29,-26.00,-24.83,-23.76,-22.82,-21.97,-21.11,-20.31,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,2,0,0.051,00.000000,00.000000,,0:/DATA/Slb_24All_Mar.rpp,1,0,13.30,22.0,15.93,38.0,3/9/2025 5:23:51 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,11.00,14.00,12.00,13.00,11.00,14.00,12.00,13.00,5.04,9.17,1.51,15.30,-60.36,29.696,37.001,tx rx 50%,500,6.28,400.000,3033.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12,15,13,14,0.00,0.00,0.00,0.00,0.00,0.00,false,38.93,17.75,19.67,17.59,16.38,15.67,14.94,14.30,13.72,13.25,12.81,12.41,12.05,11.72,11.42,11.16,10.91,10.65,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,2,0,0.054,00.000000,00.000000,,0:/DATA/Slb_24All_Mar.rpp,1,0,13.31,22.0,15.93,38.0,3/9/2025 5:23:58 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,12.00,15.00,13.00,14.00,12.00,15.00,13.00,14.00,4.65,0.87,0.92,2.94,76.54,27.034,36.515,tx rx 50%,500,6.28,400.000,632.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13,16,14,15,0.00,0.00,0.00,0.00,0.00,0.00,false,19.63,1.64,4.44,3.26,2.76,2.58,2.33,2.13,1.99,1.83,1.68,1.54,1.44,1.33,1.22,1.13,1.07,0.99,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,2,0.000,2,0,0.053,00.000000,00.000000,,0:/DATA/Slb_24All_Mar.rpp,1,0,13.31,22.0,15.93,37.9,3/9/2025 5:24:05 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,13.00,16.00,14.00,15.00,13.00,16.00,14.00,15.00,3.36,1.09,0.68,3.25,-135.40,26.821,50.143,tx rx 50%,500,6.28,400.000,966.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14,17,15,16,0.00,0.00,0.00,0.00,0.00,0.00,false,20.24,1.26,4.50,3.34,2.91,2.84,2.66,2.45,2.31,2.21,2.11,1.98,1.85,1.75,1.66,1.55,1.46,1.42,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,2,0.000,3,0,0.059,00.000000,00.000000,,0:/DATA/Slb_24All_Mar.rpp,1,0,13.31,22.0,15.93,37.8,3/9/2025 5:24:10 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,14.00,17.00,15.00,16.00,14.00,17.00,15.00,16.00,3.18,15.57,2.83,-0.93,-28.01,20.506,40.578,tx rx 50%,500,6.28,400.000,-293.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15,18,16,17,0.00,0.00,0.00,0.00,0.00,0.00,false,14.93,-3.32,-0.17,-1.17,-1.53,-1.56,-1.70,-1.81,-1.89,-1.96,-1.98,-1.99,-2.03,-2.09,-2.12,-2.12,-2.12,-2.15,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,2,0,0.058,00.000000,00.000000,,0:/DATA/Slb_24All_Mar.rpp,1,0,13.31,22.0,15.93,37.8,3/9/2025 5:24:16 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,15.00,18.00,16.00,17.00,15.00,18.00,16.00,17.00,3.14,13.58,2.71,0.37,72.83,21.298,42.565,tx rx 50%,500,6.28,400.000,116.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16,19,17,18,0.00,0.00,0.00,0.00,0.00,0.00,false,16.24,-1.54,1.42,0.38,-0.04,-0.13,-0.31,-0.43,-0.54,-0.65,-0.74,-0.84,-0.92,-1.00,-1.03,-1.06,-1.10,-1.12,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,2,0,0.050,00.000000,00.000000,,0:/DATA/Slb_24All_Mar.rpp,1,0,13.31,22.0,15.93,37.7,3/9/2025 5:24:23 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,16.00,19.00,17.00,18.00,16.00,19.00,17.00,18.00,2.09,4.22,0.51,2.54,-53.61,47.261,141.807,tx rx 50%,500,6.28,400.000,1211.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17,20,18,19,0.00,0.00,0.00,0.00,0.00,0.00,false,22.39,-0.59,3.54,2.30,1.86,1.84,1.69,1.56,1.45,1.35,1.26,1.18,1.11,1.05,1.00,0.95,0.90,0.85,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,27,4,0.191,00.000000,00.000000,,0:/DATA/Slb_24All_Mar.rpp,1,0,13.30,22.0,15.93,37.7,3/9/2025 5:24:30 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,17.00,20.00,18.00,19.00,17.00,20.00,18.00,19.00,4.41,19.56,2.77,-0.77,-94.48,46.757,66.581,tx rx 50%,500,6.28,400.000,-174.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18,21,19,20,0.00,0.00,0.00,0.00,0.00,0.00,false,19.17,-3.01,0.54,-0.90,-1.46,-1.55,-1.73,-1.89,-2.02,-2.13,-2.21,-2.26,-2.30,-2.35,-2.41,-2.44,-2.46,-2.47,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,11,1,0.172,00.000000,00.000000,,0:/DATA/Slb_24All_Mar.rpp,1,0,13.30,22.0,15.93,37.7,3/9/2025 5:24:37 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,18.00,21.00,19.00,20.00,18.00,21.00,19.00,20.00,3.11,36.50,4.63,-7.73,-86.49,48.286,97.694,tx rx 50%,500,6.28,400.000,-2489.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19,22,20,21,0.00,0.00,0.00,0.00,0.00,0.00,false,10.82,-11.76,-7.68,-8.79,-9.07,-8.95,-8.97,-8.96,-8.91,-8.85,-8.79,-8.70,-8.61,-8.54,-8.48,-8.40,-8.31,-8.22,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,20,2,0.205,00.000000,00.000000,,0:/DATA/Slb_24All_Mar.rpp,1,0,13.30,22.0,15.93,37.6,3/9/2025 5:24:44 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,19.00,22.00,20.00,21.00,19.00,22.00,20.00,21.00,5.96,32.68,4.22,-6.60,-103.10,47.391,49.958,tx rx 50%,500,6.28,400.000,-1108.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,23,21,22,0.00,0.00,0.00,0.00,0.00,0.00,false,11.83,-10.50,-6.39,-7.57,-7.89,-7.76,-7.78,-7.78,-7.76,-7.74,-7.69,-7.60,-7.52,-7.46,-7.42,-7.37,-7.29,-7.20,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,16,1,0.314,00.000000,00.000000,,0:/DATA/Slb_24All_Mar.rpp,1,0,13.30,22.0,15.93,37.6,3/9/2025 5:24:51 PM,0,1,0,0.0,0.00,0.0
