,El-array,xA (m),xB (m),xM (m),xN (m),Global xA (m),Global xB (m),Global xM (m),Global xN (m),Rho (Ohm.m),Dev. M,Dev. Rho (%),M (mV/V),SP (mV),VMN (mV),IAB (mA),TX RX,Time (ms),Coef. k (m),Dev. coef. k (%),Metal factor,yA (m),yB (m),yM (m),yN (m),Global yA (m),Global yB (m),Global yM (m),Global yN (m),zA (m),zB (m),zM (m),zN (m),Global zA (m),Global zB (m),Global zM (m),Global zN (m),N° electrode A,N° electrode B,N° electrode M,N° electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Water Depth,Water resitivity,Rising PP,M1 (mV/V),M2 (mV/V),M3 (mV/V),M4 (mV/V),M5 (mV/V),M6 (mV/V),M7 (mV/V),M8 (mV/V),M9 (mV/V),M10 (mV/V),M11 (mV/V),M12 (mV/V),M13 (mV/V),M14 (mV/V),M15 (mV/V),M16 (mV/V),M17 (mV/V),M18 (mV/V),M19 (mV/V),M20 (mV/V),Mdly (ms),TM1 (ms),TM2 (ms),TM3 (ms),TM4 (ms),TM5 (ms),TM6 (ms),TM7 (ms),TM8 (ms),TM9 (ms),TM10 (ms),TM11 (ms),TM12 (ms),TM13 (ms),TM14 (ms),TM15 (ms),TM16 (ms),TM17 (ms),TM18 (ms),TM19 (ms),TM20 (ms),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (°C),Rx-Bat (V),Rx Temp. (°C),Date,Gapfiller,Synch,Continuous survey marker,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.00,3.00,1.00,2.00,0.00,3.00,1.00,2.00,19.48,0.10,0.07,6.03,44.30,46.886,15.126,tx rx 50%,500,6.28,400.000,309.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,4,2,3,0.00,0.00,0.00,0.00,0.00,0.00,false,32.64,7.43,9.72,7.46,6.26,5.61,4.97,4.50,4.11,3.78,3.49,3.23,2.99,2.79,2.61,2.46,2.33,2.20,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,2,0.000,7,0,0.455,00.000000,00.000000,,0:/DATA/Slb_64All_Mar.rpp,1,0,13.89,18.0,16.21,26.0,3/9/2025 3:22:49 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,1.00,4.00,2.00,3.00,1.00,4.00,2.00,3.00,19.23,21.63,3.05,-0.71,-105.12,46.433,15.171,tx rx 50%,500,6.28,400.000,-37.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,5,3,4,0.00,0.00,0.00,0.00,0.00,0.00,false,23.83,-0.49,1.95,-0.07,-1.05,-1.55,-2.01,-2.32,-2.53,-2.74,-2.92,-3.05,-3.16,-3.25,-3.31,-3.36,-3.40,-3.43,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,7,0,0.481,00.000000,00.000000,,0:/DATA/Slb_64All_Mar.rpp,1,0,13.89,18.0,16.21,26.0,3/9/2025 3:22:55 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,2.00,5.00,3.00,4.00,2.00,5.00,3.00,4.00,19.92,9.89,1.47,2.81,14.42,45.819,14.453,tx rx 50%,500,6.28,400.000,141.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,6,4,5,0.00,0.00,0.00,0.00,0.00,0.00,false,28.37,3.75,6.04,3.92,2.81,2.23,1.67,1.27,0.95,0.66,0.43,0.22,0.03,-0.13,-0.26,-0.37,-0.46,-0.54,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,7,0,0.477,00.000000,00.000000,,0:/DATA/Slb_64All_Mar.rpp,1,0,13.89,18.0,16.20,26.0,3/9/2025 3:23:02 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,3.00,6.00,4.00,5.00,3.00,6.00,4.00,5.00,19.32,7.05,1.18,4.13,2.58,46.620,15.163,tx rx 50%,500,6.28,400.000,213.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,7,5,6,0.00,0.00,0.00,0.00,0.00,0.00,false,29.77,5.27,7.53,5.38,4.25,3.63,3.05,2.65,2.30,1.97,1.71,1.49,1.27,1.10,0.94,0.81,0.70,0.60,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,8,0,0.526,00.000000,00.000000,,0:/DATA/Slb_64All_Mar.rpp,1,0,13.90,18.0,16.19,26.0,3/9/2025 3:23:09 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,4.00,7.00,5.00,6.00,4.00,7.00,5.00,6.00,19.98,11.13,1.72,2.12,-29.47,47.165,14.831,tx rx 50%,500,6.28,400.000,106.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,8,6,7,0.00,0.00,0.00,0.00,0.00,0.00,false,27.16,2.67,5.05,2.99,1.90,1.36,0.93,0.60,0.30,0.05,-0.15,-0.33,-0.47,-0.61,-0.72,-0.80,-0.85,-0.92,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,8,0,0.569,00.000000,00.000000,,0:/DATA/Slb_64All_Mar.rpp,1,0,13.87,18.0,16.19,26.0,3/9/2025 3:23:16 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,5.00,8.00,6.00,7.00,5.00,8.00,6.00,7.00,19.80,16.14,2.29,0.74,-35.37,45.705,14.504,tx rx 50%,500,6.28,400.000,37.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,9,7,8,0.00,0.00,0.00,0.00,0.00,0.00,false,25.28,0.96,3.44,1.44,0.44,-0.06,-0.49,-0.80,-1.07,-1.29,-1.47,-1.62,-1.73,-1.82,-1.88,-1.95,-2.01,-2.07,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,7,0,0.513,00.000000,00.000000,,0:/DATA/Slb_64All_Mar.rpp,1,0,13.89,18.0,16.19,26.0,3/9/2025 3:23:23 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,6.00,9.00,7.00,8.00,6.00,9.00,7.00,8.00,19.88,14.75,2.32,-0.06,3.08,45.980,14.534,tx rx 50%,500,6.28,400.000,-2.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,10,8,9,0.00,0.00,0.00,0.00,0.00,0.00,false,23.33,-0.58,2.15,0.30,-0.58,-0.90,-1.29,-1.61,-1.79,-1.93,-2.04,-2.13,-2.21,-2.27,-2.32,-2.36,-2.39,-2.41,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,7,0,0.501,00.000000,00.000000,,0:/DATA/Slb_64All_Mar.rpp,1,0,13.88,18.0,16.19,26.0,3/9/2025 3:23:30 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,7.00,10.00,8.00,9.00,7.00,10.00,8.00,9.00,21.12,25.59,3.70,-4.26,-66.84,45.654,13.584,tx rx 50%,500,6.28,400.000,-201.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,11,9,10,0.00,0.00,0.00,0.00,0.00,0.00,false,17.36,-6.15,-3.02,-4.59,-5.23,-5.37,-5.60,-5.78,-5.83,-5.86,-5.88,-5.88,-5.87,-5.86,-5.83,-5.80,-5.76,-5.72,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,9,0,0.627,00.000000,00.000000,,0:/DATA/Slb_64All_Mar.rpp,1,0,13.89,18.0,16.19,26.0,3/9/2025 3:23:37 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,8.00,11.00,9.00,10.00,8.00,11.00,9.00,10.00,21.87,32.69,4.68,-6.79,8.99,41.622,11.959,tx rx 50%,500,6.28,400.000,-310.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,12,10,11,0.00,0.00,0.00,0.00,0.00,0.00,false,14.33,-9.17,-5.96,-7.44,-8.00,-8.08,-8.26,-8.37,-8.37,-8.35,-8.31,-8.26,-8.20,-8.13,-8.05,-7.95,-7.86,-7.78,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,5,0,0.427,00.000000,00.000000,,0:/DATA/Slb_64All_Mar.rpp,1,0,13.89,18.0,16.19,26.0,3/9/2025 3:23:44 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,9.00,12.00,10.00,11.00,9.00,12.00,10.00,11.00,22.44,19.89,2.93,-3.25,-45.44,42.058,11.775,tx rx 50%,500,6.28,400.000,-144.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,13,11,12,0.00,0.00,0.00,0.00,0.00,0.00,false,17.14,-5.76,-2.36,-3.75,-4.30,-4.36,-4.50,-4.59,-4.64,-4.68,-4.69,-4.67,-4.63,-4.60,-4.58,-4.54,-4.51,-4.47,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,5,0,0.439,00.000000,00.000000,,0:/DATA/Slb_64All_Mar.rpp,1,0,13.89,18.0,16.19,26.0,3/9/2025 3:23:51 PM,0,1,0,0.0,0.00,0.0
