"Time","#","Name","Reading1","Reading2","Reading3","Reading4","Reading5","DataSnap"
"1/31/2026 4:00:00 PM","19009393","Active 3 Deep","47.3","12.2","34","2964","7894","Active"
"1/31/2026 8:00:00 AM","19009393","Active 3 Deep","47.3","12.2","34","2968","7906","Active"
"1/31/2026 12:00:00 AM","19009393","Active 3 Deep","47.3","12.2","34","2973","7908","Active"
"1/30/2026 4:00:00 PM","19009393","Active 3 Deep","47.3","12.3","34","2973","7922","Active"
"1/30/2026 8:00:00 AM","19009393","Active 3 Deep","47.3","12.3","34","2973","7903","Active"
"1/30/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","12.3","34.1","2977","7887","Active"
"1/29/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","12.5","34.1","2986","7914","Active"
"1/29/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","12.4","34.1","2982","7916","Active"
"1/29/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","12.5","34.1","2986","7920","Active"
"1/28/2026 4:00:00 PM","19009393","Active 3 Deep","47.3","12.5","34","2986","7942","Active"
"1/28/2026 8:00:00 AM","19009393","Active 3 Deep","47.3","12.6","34","2991","7963","Active"
"1/28/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","12.7","34.1","2995","7935","Active"
"1/27/2026 4:00:00 PM","19009393","Active 3 Deep","47.3","12.8","33.9","2995","7992","Active"
"1/27/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","12.8","34.2","2995","7917","Active"
"1/27/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","12.8","34.1","2995","7937","Active"
"1/26/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","12.9","34.2","3005","7952","Active"
"1/26/2026 8:00:00 AM","19009393","Active 3 Deep","47.2","13","33.9","3005","8021","Active"
"1/26/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","13","34.2","3005","7956","Active"
"1/25/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","13.1","34.1","3009","7983","Active"
"1/25/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","13.1","34.1","3009","7973","Active"
"1/25/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","13.1","34.1","3014","7997","Active"
"1/24/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","13.2","34.2","3009","7969","Active"
"1/24/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","13.2","34.1","3018","8008","Active"
"1/24/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","13.3","34.2","3018","7989","Active"
"1/23/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","13.3","34.1","3023","8017","Active"
"1/23/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","13.4","34.1","3023","8023","Active"
"1/23/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","13.5","34.1","3028","8028","Active"
"1/22/2026 4:00:00 PM","19009393","Active 3 Deep","47.3","13.5","34","3028","8051","Active"
"1/22/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","13.6","34.1","3028","8042","Active"
"1/22/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","13.6","34.2","3032","8018","Active"
"1/21/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","13.6","34.2","3032","8030","Active"
"1/21/2026 8:00:00 AM","19009393","Active 3 Deep","47.5","13.8","34.2","3042","8038","Active"
"1/21/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","13.8","34.2","3046","8063","Active"
"1/20/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","13.8","34.2","3046","8060","Active"
"1/20/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","13.8","34.1","3046","8070","Active"
"1/20/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","14","34.1","3056","8098","Active"
"1/19/2026 4:00:00 PM","19009393","Active 3 Deep","47.5","14","34.2","3056","8076","Active"
"1/19/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","14","34.2","3056","8082","Active"
"1/19/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","14.1","34.2","3065","8113","Active"
"1/18/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","14.1","34.2","3060","8100","Active"
"1/18/2026 8:00:00 AM","19009393","Active 3 Deep","47.5","14.1","34.2","3060","8087","Active"
"1/18/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","14.2","34.2","3065","8105","Active"
"1/17/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","14.2","34.2","3065","8112","Active"
"1/17/2026 8:00:00 AM","19009393","Active 3 Deep","47.5","14.3","34.3","3070","8102","Active"
"1/17/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","14.3","34.2","3070","8123","Active"
"1/16/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","14.3","34.2","3074","8133","Active"
"1/16/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","14.4","34.1","3065","8133","Active"
"1/16/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","14.4","34.1","3070","8151","Active"
"1/15/2026 4:00:00 PM","19009393","Active 3 Deep","47.3","14.4","34.1","3070","8154","Active"
"1/15/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","14.4","34.1","3079","8158","Active"
"1/15/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","14.5","34.2","3079","8154","Active"
"1/14/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","14.5","34.2","3079","8150","Active"
