"Time","#","Name","Reading1","Reading2","Reading3","Reading4","Reading5","DataSnap"
"1/30/2026 4:00:00 PM","19009978","Active 1 Shallow","48.1","5.7","35.2","6076","15564","Active"
"1/30/2026 8:00:00 AM","19009978","Active 1 Shallow","46","2.1","32.1","4793","13599","Active"
"1/30/2026 12:00:00 AM","19009978","Active 1 Shallow","48.4","3.5","35.6","6577","16616","Active"
"1/29/2026 4:00:00 PM","19009978","Active 1 Shallow","48.6","5","36.1","7192","17924","Active"
"1/29/2026 8:00:00 AM","19009978","Active 1 Shallow","48.4","3","35.6","6890","17396","Active"
"1/29/2026 12:00:00 AM","19009978","Active 1 Shallow","48.4","2.9","35.7","6696","16887","Active"
"1/28/2026 4:00:00 PM","19009978","Active 1 Shallow","48.4","2.7","35.7","7114","17940","Active"
"1/28/2026 8:00:00 AM","19009978","Active 1 Shallow","45.4","2.6","31.4","4639","13528","Active"
"1/28/2026 12:00:00 AM","19009978","Active 1 Shallow","47.9","3.3","35","5809","14994","Active"
"1/25/2026 4:00:00 PM","19009978","Active 1 Shallow","42.6","3.7","27.8","3265","10950","Active"
"1/22/2026 8:00:00 AM","19009978","Active 1 Shallow","102","3.5","85","3287","1218","Active"
"1/22/2026 12:00:00 AM","19009978","Active 1 Shallow","102","5.8","85","3534","1770","Active"
"1/21/2026 8:00:00 AM","19009978","Active 1 Shallow","102","5.6","85","3474","1587","Active"
"1/21/2026 12:00:00 AM","19009978","Active 1 Shallow","102","5.8","85","3509","1468","Active"
"1/20/2026 12:00:00 AM","19009978","Active 1 Shallow","102","4.8","85","3497","2211","Active"
"1/19/2026 4:00:00 PM","19009978","Active 1 Shallow","102","7.1","85","3570","1464","Active"
"1/19/2026 12:00:00 AM","19009978","Active 1 Shallow","102","6.1","85","3626","1567","Active"
"1/18/2026 8:00:00 AM","19009978","Active 1 Shallow","102","2.8","85","3320","1799","Active"
"1/16/2026 12:00:00 AM","19009978","Active 1 Shallow","102","9.3","85","3886","1076","Active"
"1/15/2026 12:00:00 AM","19009978","Active 1 Shallow","44.8","8.8","30.6","3965","11910","Active"
"1/14/2026 8:00:00 AM","19009978","Active 1 Shallow","44.4","9.3","30","3965","12174","Active"
"1/11/2026 8:00:00 AM","19009978","Active 1 Shallow","102","5.8","85","3830","1033","Active"
"1/9/2026 4:00:00 PM","19009978","Active 1 Shallow","45","11.8","30.7","4208","12562","Active"
"1/9/2026 12:00:00 AM","19009978","Active 1 Shallow","44","11.8","29.5","4667","14620","Active"
"1/8/2026 4:00:00 PM","19009978","Active 1 Shallow","47.1","14.5","33.7","5082","13680","Active"
"1/8/2026 8:00:00 AM","19009978","Active 1 Shallow","43.8","13.2","29.2","3929","12420","Active"
"1/4/2026 8:00:00 AM","19009978","Active 1 Shallow","102","7.3","85","3620","1953","Active"
"12/31/2025 4:00:00 PM","19009978","Active 1 Shallow","43.1","10.1","28.4","3601","11755","Active"
"12/30/2025 12:00:00 AM","19009978","Active 1 Shallow","102","7.6","85","3763","1581","Active"
"12/29/2025 12:00:00 AM","19009978","Active 1 Shallow","44.4","11.4","30","3851","11827","Active"
"12/28/2025 4:00:00 PM","19009978","Active 1 Shallow","45.1","15.5","30.8","4240","12601","Active"
"12/28/2025 8:00:00 AM","19009978","Active 1 Shallow","45.4","15.4","31.4","4256","12411","Active"
"12/28/2025 12:00:00 AM","19009978","Active 1 Shallow","45.9","16.4","31.9","4347","12427","Active"
"12/27/2025 4:00:00 PM","19009978","Active 1 Shallow","45.4","16.2","31.2","4240","12421","Active"
"12/27/2025 12:00:00 AM","19009978","Active 1 Shallow","45.1","14","30.9","4208","12490","Active"
"12/26/2025 4:00:00 PM","19009978","Active 1 Shallow","45.5","16.8","31.4","4322","12597","Active"
"12/26/2025 8:00:00 AM","19009978","Active 1 Shallow","45.7","14.6","31.7","4248","12258","Active"
"12/26/2025 12:00:00 AM","19009978","Active 1 Shallow","45.7","16.2","31.7","4339","12503","Active"
"12/25/2025 4:00:00 PM","19009978","Active 1 Shallow","45.9","17","31.9","4389","12547","Active"
"12/25/2025 12:00:00 AM","19009978","Active 1 Shallow","45.2","15.3","31","4256","12573","Active"
"12/24/2025 4:00:00 PM","19009978","Active 1 Shallow","45.5","16.2","31.4","4273","12427","Active"
"12/24/2025 12:00:00 AM","19009978","Active 1 Shallow","44.9","13.7","30.6","4176","12514","Active"
"12/23/2025 4:00:00 PM","19009978","Active 1 Shallow","45.1","14.6","30.9","4161","12348","Active"
"12/18/2025 4:00:00 PM","19009978","Active 1 Shallow","44.4","10.6","30","3965","12146","Active"
"12/18/2025 8:00:00 AM","19009978","Active 1 Shallow","43.2","8.4","28.5","3900","12714","Active"
