,El-array,xA (m),xB (m),xM (m),xN (m),Global xA (m),Global xB (m),Global xM (m),Global xN (m),Rho (Ohm.m),Dev. M,Dev. Rho (%),M (mV/V),SP (mV),VMN (mV),IAB (mA),TX RX,Time (ms),Coef. k (m),Dev. coef. k (%),Metal factor,yA (m),yB (m),yM (m),yN (m),Global yA (m),Global yB (m),Global yM (m),Global yN (m),zA (m),zB (m),zM (m),zN (m),Global zA (m),Global zB (m),Global zM (m),Global zN (m),N° electrode A,N° electrode B,N° electrode M,N° electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Water Depth,Water resitivity,Rising PP,M1 (mV/V),M2 (mV/V),M3 (mV/V),M4 (mV/V),M5 (mV/V),M6 (mV/V),M7 (mV/V),M8 (mV/V),M9 (mV/V),M10 (mV/V),M11 (mV/V),M12 (mV/V),M13 (mV/V),M14 (mV/V),M15 (mV/V),M16 (mV/V),M17 (mV/V),M18 (mV/V),M19 (mV/V),M20 (mV/V),Mdly (ms),TM1 (ms),TM2 (ms),TM3 (ms),TM4 (ms),TM5 (ms),TM6 (ms),TM7 (ms),TM8 (ms),TM9 (ms),TM10 (ms),TM11 (ms),TM12 (ms),TM13 (ms),TM14 (ms),TM15 (ms),TM16 (ms),TM17 (ms),TM18 (ms),TM19 (ms),TM20 (ms),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (°C),Rx-Bat (V),Rx Temp. (°C),Date,Gapfiller,Synch,Continuous survey marker,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.00,3.00,1.00,2.00,0.00,3.00,1.00,2.00,52.86,0.04,0.11,1.28,37.37,71.332,8.479,tx rx 50%,500,6.28,400.000,24.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,4,2,3,0.00,0.00,0.00,0.00,0.00,0.00,false,18.85,-2.36,1.69,0.67,0.38,0.41,0.33,0.33,0.32,0.30,0.29,0.29,0.27,0.25,0.25,0.24,0.24,0.23,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,2,0.000,8,0,0.898,00.000000,00.000000,,0:/DATA/64all_slb_21feb26.rpp,1,0,13.36,12.0,12.97,17.7,2/21/2026 4:47:45 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,1.00,4.00,2.00,3.00,1.00,4.00,2.00,3.00,52.29,11.23,1.67,-1.47,-8.10,70.355,8.454,tx rx 50%,500,6.28,400.000,-28.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,5,3,4,0.00,0.00,0.00,0.00,0.00,0.00,false,16.57,-5.37,-1.20,-2.24,-2.53,-2.42,-2.49,-2.55,-2.50,-2.47,-2.46,-2.46,-2.45,-2.44,-2.41,-2.39,-2.36,-2.32,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,10,0,1.126,00.000000,00.000000,,0:/DATA/64all_slb_21feb26.rpp,1,0,13.36,10.0,12.96,17.7,2/21/2026 4:47:50 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,2.00,5.00,3.00,4.00,2.00,5.00,3.00,4.00,50.12,21.62,3.03,-3.87,-90.91,70.156,8.796,tx rx 50%,500,6.28,400.000,-77.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,6,4,5,0.00,0.00,0.00,0.00,0.00,0.00,false,14.79,-7.53,-3.58,-4.71,-5.09,-5.07,-5.07,-5.04,-5.02,-5.00,-4.97,-4.93,-4.88,-4.82,-4.76,-4.71,-4.65,-4.59,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,10,0,1.172,00.000000,00.000000,,0:/DATA/64all_slb_21feb26.rpp,1,0,13.35,12.0,12.96,17.7,2/21/2026 4:47:57 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,3.00,6.00,4.00,5.00,3.00,6.00,4.00,5.00,51.16,14.65,2.16,-2.34,-22.54,71.980,8.840,tx rx 50%,500,6.28,400.000,-45.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,7,5,6,0.00,0.00,0.00,0.00,0.00,0.00,false,15.61,-5.97,-2.03,-3.11,-3.41,-3.32,-3.40,-3.48,-3.44,-3.38,-3.34,-3.32,-3.31,-3.30,-3.27,-3.22,-3.19,-3.17,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,8,0,0.953,00.000000,00.000000,,0:/DATA/64all_slb_21feb26.rpp,1,0,13.34,12.0,12.96,17.7,2/21/2026 4:48:04 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,4.00,7.00,5.00,6.00,4.00,7.00,5.00,6.00,50.95,16.50,2.63,-3.20,-21.40,71.734,8.846,tx rx 50%,500,6.28,400.000,-62.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,8,6,7,0.00,0.00,0.00,0.00,0.00,0.00,false,14.45,-7.23,-3.16,-4.16,-4.41,-4.27,-4.30,-4.32,-4.25,-4.19,-4.15,-4.10,-4.05,-4.01,-3.95,-3.89,-3.84,-3.78,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,7,0,0.793,00.000000,00.000000,,0:/DATA/64all_slb_21feb26.rpp,1,0,13.35,12.0,12.96,17.7,2/21/2026 4:48:11 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,5.00,8.00,6.00,7.00,5.00,8.00,6.00,7.00,48.66,3.04,0.21,2.84,-45.08,67.077,8.661,tx rx 50%,500,6.28,400.000,58.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,9,7,8,0.00,0.00,0.00,0.00,0.00,0.00,false,22.69,0.19,3.97,2.67,2.17,2.05,1.90,1.80,1.70,1.60,1.51,1.43,1.36,1.30,1.25,1.19,1.15,1.11,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,11,0,1.300,00.000000,00.000000,,0:/DATA/64all_slb_21feb26.rpp,1,0,13.35,12.0,12.96,17.8,2/21/2026 4:48:18 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,6.00,9.00,7.00,8.00,6.00,9.00,7.00,8.00,50.24,18.71,2.61,-2.86,-95.62,71.695,8.967,tx rx 50%,500,6.28,400.000,-56.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,10,8,9,0.00,0.00,0.00,0.00,0.00,0.00,false,14.96,-6.76,-2.71,-3.73,-4.01,-3.96,-3.97,-3.92,-3.88,-3.85,-3.83,-3.80,-3.77,-3.72,-3.69,-3.66,-3.62,-3.57,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,8,0,0.879,00.000000,00.000000,,0:/DATA/64all_slb_21feb26.rpp,1,0,13.35,12.0,12.96,17.9,2/21/2026 4:48:25 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,7.00,10.00,8.00,9.00,7.00,10.00,8.00,9.00,49.04,3.53,0.50,2.51,74.39,66.955,8.578,tx rx 50%,500,6.28,400.000,51.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,11,9,10,0.00,0.00,0.00,0.00,0.00,0.00,false,20.92,-0.58,3.30,2.17,1.79,1.77,1.63,1.56,1.50,1.44,1.37,1.31,1.26,1.21,1.17,1.13,1.09,1.05,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,7,0,0.855,00.000000,00.000000,,0:/DATA/64all_slb_21feb26.rpp,1,0,13.35,12.0,12.96,17.9,2/21/2026 4:48:32 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,8.00,11.00,9.00,10.00,8.00,11.00,9.00,10.00,42.33,9.59,1.59,-0.52,11.02,59.357,8.810,tx rx 50%,500,6.28,400.000,-12.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,12,10,11,0.00,0.00,0.00,0.00,0.00,0.00,false,18.03,-3.73,0.10,-1.03,-1.41,-1.44,-1.58,-1.61,-1.62,-1.64,-1.66,-1.66,-1.66,-1.66,-1.68,-1.69,-1.68,-1.67,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,8,0,0.937,00.000000,00.000000,,0:/DATA/64all_slb_21feb26.rpp,1,0,13.35,12.0,12.96,17.9,2/21/2026 4:48:39 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,9.00,12.00,10.00,11.00,9.00,12.00,10.00,11.00,38.43,24.19,3.59,-5.33,-70.59,48.426,7.918,tx rx 50%,500,6.28,400.000,-138.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,13,11,12,0.00,0.00,0.00,0.00,0.00,0.00,false,11.12,-9.78,-5.64,-6.50,-6.66,-6.44,-6.41,-6.36,-6.25,-6.16,-6.10,-6.04,-5.96,-5.87,-5.81,-5.75,-5.69,-5.62,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,5,0,0.657,00.000000,00.000000,,0:/DATA/64all_slb_21feb26.rpp,1,0,13.35,12.0,12.96,18.0,2/21/2026 4:48:47 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,10.00,13.00,11.00,12.00,10.00,13.00,11.00,12.00,35.41,16.53,2.49,-3.26,-24.22,49.200,8.730,tx rx 50%,500,6.28,400.000,-91.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11,14,12,13,0.00,0.00,0.00,0.00,0.00,0.00,false,14.21,-7.21,-3.20,-4.20,-4.45,-4.33,-4.37,-4.36,-4.29,-4.24,-4.20,-4.14,-4.09,-4.04,-4.00,-3.94,-3.90,-3.85,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,7,0,0.841,00.000000,00.000000,,0:/DATA/64all_slb_21feb26.rpp,1,0,13.35,12.0,12.96,18.0,2/21/2026 4:48:54 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,11.00,14.00,12.00,13.00,11.00,14.00,12.00,13.00,29.89,13.38,1.91,-2.25,15.67,41.445,8.713,tx rx 50%,500,6.28,400.000,-75.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12,15,13,14,0.00,0.00,0.00,0.00,0.00,0.00,false,15.19,-5.98,-2.01,-3.03,-3.32,-3.22,-3.24,-3.26,-3.28,-3.31,-3.26,-3.20,-3.17,-3.14,-3.11,-3.10,-3.06,-3.02,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,6,0,0.687,00.000000,00.000000,,0:/DATA/64all_slb_21feb26.rpp,1,0,13.35,12.0,12.96,18.0,2/21/2026 4:49:01 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,12.00,15.00,13.00,14.00,12.00,15.00,13.00,14.00,29.97,10.76,1.42,-1.41,-10.66,41.913,8.787,tx rx 50%,500,6.28,400.000,-47.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13,16,14,15,0.00,0.00,0.00,0.00,0.00,0.00,false,16.33,-5.18,-1.15,-2.18,-2.47,-2.37,-2.39,-2.43,-2.45,-2.43,-2.41,-2.39,-2.37,-2.34,-2.33,-2.31,-2.31,-2.29,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,5,0,0.580,00.000000,00.000000,,0:/DATA/64all_slb_21feb26.rpp,1,0,13.34,12.0,12.96,18.0,2/21/2026 4:49:08 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,13.00,16.00,14.00,15.00,13.00,16.00,14.00,15.00,27.29,10.39,1.43,-1.28,-20.33,43.323,9.976,tx rx 50%,500,6.28,400.000,-46.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14,17,15,16,0.00,0.00,0.00,0.00,0.00,0.00,false,16.19,-5.06,-1.01,-2.02,-2.30,-2.19,-2.26,-2.31,-2.27,-2.26,-2.25,-2.22,-2.22,-2.21,-2.17,-2.15,-2.15,-2.15,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,7,0,0.721,00.000000,00.000000,,0:/DATA/64all_slb_21feb26.rpp,1,0,13.36,12.0,12.96,18.0,2/21/2026 4:49:15 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,14.00,17.00,15.00,16.00,14.00,17.00,15.00,16.00,27.39,15.24,2.34,-2.55,-11.13,42.519,9.753,tx rx 50%,500,6.28,400.000,-93.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15,18,16,17,0.00,0.00,0.00,0.00,0.00,0.00,false,15.02,-6.55,-2.43,-3.46,-3.71,-3.64,-3.65,-3.62,-3.56,-3.50,-3.47,-3.46,-3.42,-3.37,-3.32,-3.29,-3.26,-3.24,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,8,0,0.771,00.000000,00.000000,,0:/DATA/64all_slb_21feb26.rpp,1,0,13.34,12.0,12.96,18.0,2/21/2026 4:49:22 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,15.00,18.00,16.00,17.00,15.00,18.00,16.00,17.00,31.46,3.57,0.66,3.37,-61.51,44.555,8.898,tx rx 50%,500,6.28,400.000,107.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16,19,17,18,0.00,0.00,0.00,0.00,0.00,0.00,false,22.17,0.51,4.35,3.18,2.78,2.74,2.53,2.41,2.34,2.25,2.16,2.08,2.01,1.95,1.90,1.84,1.78,1.71,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,6,0,0.663,00.000000,00.000000,,0:/DATA/64all_slb_21feb26.rpp,1,0,13.35,12.0,12.96,18.0,2/21/2026 4:49:29 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,16.00,19.00,17.00,18.00,16.00,19.00,17.00,18.00,31.98,7.53,1.29,-0.11,37.45,44.976,8.837,tx rx 50%,500,6.28,400.000,-3.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17,20,18,19,0.00,0.00,0.00,0.00,0.00,0.00,false,18.11,-3.54,0.48,-0.65,-1.01,-1.01,-1.12,-1.12,-1.12,-1.16,-1.19,-1.21,-1.22,-1.22,-1.24,-1.25,-1.26,-1.26,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,10,0,1.136,00.000000,00.000000,,0:/DATA/64all_slb_21feb26.rpp,1,0,13.35,12.0,12.96,18.0,2/21/2026 4:49:36 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,17.00,20.00,18.00,19.00,17.00,20.00,18.00,19.00,33.73,5.65,0.61,2.21,-170.51,46.383,8.640,tx rx 50%,500,6.28,400.000,65.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18,21,19,20,0.00,0.00,0.00,0.00,0.00,0.00,false,21.04,-0.71,3.21,2.02,1.52,1.33,1.25,1.25,1.19,1.11,1.03,0.96,0.89,0.84,0.77,0.72,0.68,0.63,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,9,0,1.013,00.000000,00.000000,,0:/DATA/64all_slb_21feb26.rpp,1,0,13.35,12.0,12.96,18.0,2/21/2026 4:49:43 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,18.00,21.00,19.00,20.00,18.00,21.00,19.00,20.00,38.83,10.42,1.46,-1.69,85.78,54.103,8.753,tx rx 50%,500,6.28,400.000,-43.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19,22,20,21,0.00,0.00,0.00,0.00,0.00,0.00,false,15.47,-5.69,-1.57,-2.56,-2.80,-2.72,-2.78,-2.73,-2.66,-2.61,-2.57,-2.55,-2.52,-2.48,-2.43,-2.40,-2.39,-2.36,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,8,0,0.900,00.000000,00.000000,,0:/DATA/64all_slb_21feb26.rpp,1,0,13.34,12.0,12.95,18.0,2/21/2026 4:49:50 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,19.00,22.00,20.00,21.00,19.00,22.00,20.00,21.00,37.64,13.07,2.05,-2.07,7.99,50.578,8.443,tx rx 50%,500,6.28,400.000,-55.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,23,21,22,0.00,0.00,0.00,0.00,0.00,0.00,false,15.80,-5.97,-1.81,-2.87,-3.16,-3.13,-3.22,-3.16,-3.08,-3.06,-3.05,-3.03,-3.00,-2.97,-2.94,-2.92,-2.90,-2.87,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,10,0,1.157,00.000000,00.000000,,0:/DATA/64all_slb_21feb26.rpp,1,0,13.35,12.0,12.95,18.0,2/21/2026 4:49:57 PM,0,1,0,0.0,0.00,0.0
