,El-array,xA (m),xB (m),xM (m),xN (m),Global xA (m),Global xB (m),Global xM (m),Global xN (m),Rho (Ohm.m),Dev. M,Dev. Rho (%),M (mV/V),SP (mV),VMN (mV),IAB (mA),TX RX,Time (ms),Coef. k (m),Dev. coef. k (%),Metal factor,yA (m),yB (m),yM (m),yN (m),Global yA (m),Global yB (m),Global yM (m),Global yN (m),zA (m),zB (m),zM (m),zN (m),Global zA (m),Global zB (m),Global zM (m),Global zN (m),N° electrode A,N° electrode B,N° electrode M,N° electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Water Depth,Water resitivity,Rising PP,M1 (mV/V),M2 (mV/V),M3 (mV/V),M4 (mV/V),M5 (mV/V),M6 (mV/V),M7 (mV/V),M8 (mV/V),M9 (mV/V),M10 (mV/V),M11 (mV/V),M12 (mV/V),M13 (mV/V),M14 (mV/V),M15 (mV/V),M16 (mV/V),M17 (mV/V),M18 (mV/V),M19 (mV/V),M20 (mV/V),Mdly (ms),TM1 (ms),TM2 (ms),TM3 (ms),TM4 (ms),TM5 (ms),TM6 (ms),TM7 (ms),TM8 (ms),TM9 (ms),TM10 (ms),TM11 (ms),TM12 (ms),TM13 (ms),TM14 (ms),TM15 (ms),TM16 (ms),TM17 (ms),TM18 (ms),TM19 (ms),TM20 (ms),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (°C),Rx-Bat (V),Rx Temp. (°C),Date,Gapfiller,Synch,Continuous survey marker,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.00,3.00,1.00,2.00,0.00,3.00,1.00,2.00,8.70,0.02,0.02,3.08,25.01,51.480,37.166,tx rx 50%,500,6.28,400.000,354.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,4,2,3,0.00,0.00,0.00,0.00,0.00,0.00,false,25.01,1.40,4.75,3.18,2.53,2.37,2.11,1.88,1.70,1.54,1.41,1.32,1.24,1.16,1.07,0.99,0.95,0.91,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,2,0.000,14,1,0.372,00.000000,00.000000,,0:/DATA/Slb_24All_june_2025.rpp,1,0,13.30,45.0,16.19,53.4,2025/06/19 17:11:58,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,1.00,4.00,2.00,3.00,1.00,4.00,2.00,3.00,5.91,8.19,1.20,2.05,-15.07,53.151,56.522,tx rx 50%,500,6.28,400.000,346.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,5,3,4,0.00,0.00,0.00,0.00,0.00,0.00,false,24.52,1.04,4.10,2.43,1.64,1.37,1.04,0.77,0.56,0.37,0.22,0.08,-0.02,-0.11,-0.19,-0.27,-0.33,-0.36,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,10,1,0.182,00.000000,00.000000,,0:/DATA/Slb_24All_june_2025.rpp,1,0,13.30,45.0,16.18,53.5,2025/06/19 17:12:04,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,2.00,5.00,3.00,4.00,2.00,5.00,3.00,4.00,2.67,11.86,1.51,0.07,39.93,47.160,110.896,tx rx 50%,500,6.28,400.000,26.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,6,4,5,0.00,0.00,0.00,0.00,0.00,0.00,false,20.29,-2.40,1.30,-0.10,-0.63,-0.72,-0.90,-1.07,-1.19,-1.29,-1.37,-1.43,-1.48,-1.51,-1.53,-1.55,-1.57,-1.57,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,17,2,0.153,00.000000,00.000000,,0:/DATA/Slb_24All_june_2025.rpp,1,0,13.30,45.0,16.18,53.5,2025/06/19 17:12:11,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,3.00,6.00,4.00,5.00,3.00,6.00,4.00,5.00,2.93,8.07,0.95,0.58,30.56,47.397,101.716,tx rx 50%,500,6.28,400.000,198.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,7,5,6,0.00,0.00,0.00,0.00,0.00,0.00,false,20.52,-2.34,1.54,0.26,-0.20,-0.23,-0.38,-0.50,-0.59,-0.67,-0.74,-0.79,-0.83,-0.87,-0.89,-0.92,-0.95,-0.97,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,18,2,0.175,00.000000,00.000000,,0:/DATA/Slb_24All_june_2025.rpp,1,0,13.31,45.0,16.19,53.8,2025/06/19 17:12:18,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,4.00,7.00,5.00,6.00,4.00,7.00,5.00,6.00,3.09,10.18,1.94,0.70,-34.84,44.248,89.886,tx rx 50%,500,6.28,400.000,227.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,8,6,7,0.00,0.00,0.00,0.00,0.00,0.00,false,21.05,-1.67,1.96,0.59,0.05,-0.04,-0.23,-0.40,-0.54,-0.64,-0.73,-0.81,-0.89,-0.94,-0.97,-1.00,-1.03,-1.06,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,6,1,0.062,00.000000,00.000000,,0:/DATA/Slb_24All_june_2025.rpp,1,0,13.31,45.0,16.18,53.8,2025/06/19 17:12:25,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,5.00,8.00,6.00,7.00,5.00,8.00,6.00,7.00,3.03,4.40,0.82,2.65,-26.69,46.049,95.363,tx rx 50%,500,6.28,400.000,874.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,9,7,8,0.00,0.00,0.00,0.00,0.00,0.00,false,22.26,0.86,4.22,2.86,2.27,2.11,1.87,1.66,1.50,1.35,1.20,1.07,0.97,0.88,0.78,0.70,0.63,0.59,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,5,1,0.056,00.000000,00.000000,,0:/DATA/Slb_24All_june_2025.rpp,1,0,13.29,45.0,16.18,53.8,2025/06/19 17:12:32,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,6.00,9.00,7.00,8.00,6.00,9.00,7.00,8.00,3.67,5.24,0.81,2.37,49.62,44.615,76.433,tx rx 50%,500,6.28,400.000,645.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,10,8,9,0.00,0.00,0.00,0.00,0.00,0.00,false,20.82,0.81,3.88,2.58,2.03,1.86,1.62,1.42,1.26,1.11,0.97,0.86,0.76,0.68,0.60,0.53,0.46,0.39,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,4,0,0.049,00.000000,00.000000,,0:/DATA/Slb_24All_june_2025.rpp,1,0,13.29,45.0,16.17,53.8,2025/06/19 17:12:39,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,7.00,10.00,8.00,9.00,7.00,10.00,8.00,9.00,3.72,6.45,1.14,1.97,-40.36,46.449,78.544,tx rx 50%,500,6.28,400.000,531.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,11,9,10,0.00,0.00,0.00,0.00,0.00,0.00,false,21.16,0.08,3.39,2.07,1.51,1.38,1.15,0.95,0.82,0.71,0.58,0.47,0.37,0.29,0.23,0.17,0.12,0.09,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,4,0,0.053,00.000000,00.000000,,0:/DATA/Slb_24All_june_2025.rpp,1,0,13.30,45.0,16.18,53.8,2025/06/19 17:12:46,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,8.00,11.00,9.00,10.00,8.00,11.00,9.00,10.00,4.98,10.51,1.80,1.72,26.01,38.763,48.900,tx rx 50%,500,6.28,400.000,345.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,12,10,11,0.00,0.00,0.00,0.00,0.00,0.00,false,20.42,0.33,3.30,1.97,1.40,1.22,0.97,0.73,0.55,0.41,0.27,0.16,0.07,-0.04,-0.13,-0.19,-0.24,-0.26,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,3,0,0.054,00.000000,00.000000,,0:/DATA/Slb_24All_june_2025.rpp,1,0,13.30,45.0,16.18,53.8,2025/06/19 17:12:53,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,9.00,12.00,10.00,11.00,9.00,12.00,10.00,11.00,3.72,3.46,0.42,2.51,-66.63,47.728,80.723,tx rx 50%,500,6.28,400.000,675.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,13,11,12,0.00,0.00,0.00,0.00,0.00,0.00,false,21.46,0.83,3.99,2.67,2.11,1.96,1.71,1.51,1.36,1.21,1.08,0.99,0.91,0.82,0.73,0.66,0.61,0.56,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,5,0,0.060,00.000000,00.000000,,0:/DATA/Slb_24All_june_2025.rpp,1,0,13.29,45.0,16.17,54.0,2025/06/19 17:13:00,0,1,0,0.0,0.00,0.0
