,El-array,xA (m),xB (m),xM (m),xN (m),Global xA (m),Global xB (m),Global xM (m),Global xN (m),Rho (Ohm.m),Dev. M,Dev. Rho (%),M (mV/V),SP (mV),VMN (mV),IAB (mA),TX RX,Time (ms),Coef. k (m),Dev. coef. k (%),Metal factor,yA (m),yB (m),yM (m),yN (m),Global yA (m),Global yB (m),Global yM (m),Global yN (m),zA (m),zB (m),zM (m),zN (m),Global zA (m),Global zB (m),Global zM (m),Global zN (m),N° electrode A,N° electrode B,N° electrode M,N° electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Water Depth,Water resitivity,Rising PP,M1 (mV/V),M2 (mV/V),M3 (mV/V),M4 (mV/V),M5 (mV/V),M6 (mV/V),M7 (mV/V),M8 (mV/V),M9 (mV/V),M10 (mV/V),M11 (mV/V),M12 (mV/V),M13 (mV/V),M14 (mV/V),M15 (mV/V),M16 (mV/V),M17 (mV/V),M18 (mV/V),M19 (mV/V),M20 (mV/V),Mdly (ms),TM1 (ms),TM2 (ms),TM3 (ms),TM4 (ms),TM5 (ms),TM6 (ms),TM7 (ms),TM8 (ms),TM9 (ms),TM10 (ms),TM11 (ms),TM12 (ms),TM13 (ms),TM14 (ms),TM15 (ms),TM16 (ms),TM17 (ms),TM18 (ms),TM19 (ms),TM20 (ms),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (°C),Rx-Bat (V),Rx Temp. (°C),Date,Gapfiller,Synch,Continuous survey marker,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.00,3.00,1.00,2.00,0.00,3.00,1.00,2.00,15.53,0.00,0.03,-5.61,-53.50,48.366,19.567,tx rx 50%,500,6.28,400.000,-361.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,4,2,3,0.00,0.00,0.00,0.00,0.00,0.00,false,-42.40,-15.10,-7.39,-6.53,-4.81,-3.70,-3.09,-2.64,-2.29,-2.02,-1.81,-1.63,-1.50,-1.39,-1.28,-1.19,-1.14,-1.09,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,2,0.000,50,1,2.535,00.000000,00.000000,,0:/DATA/Slb_24All_sep.rpp,1,0,13.30,42.0,16.17,49.2,2025/09/13 18:42:09,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,1.00,4.00,2.00,3.00,1.00,4.00,2.00,3.00,7.83,16.11,1.21,-27.14,-91.46,69.227,55.532,tx rx 50%,500,6.28,400.000,-3465.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,5,3,4,0.00,0.00,0.00,0.00,0.00,0.00,false,-126.72,-60.11,-41.80,-35.23,-29.01,-24.81,-21.85,-19.50,-17.64,-16.11,-14.85,-13.80,-12.89,-12.10,-11.41,-10.78,-10.23,-9.75,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,179,10,3.215,00.000000,00.000000,,0:/DATA/Slb_24All_sep.rpp,1,0,13.27,42.0,16.17,49.2,2025/09/13 18:42:14,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,2.00,5.00,3.00,4.00,2.00,5.00,3.00,4.00,2.88,5.19,0.82,-7.36,169.76,52.208,113.804,tx rx 50%,500,6.28,400.000,-2554.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,6,4,5,0.00,0.00,0.00,0.00,0.00,0.00,false,-57.59,-16.71,-9.48,-8.38,-6.14,-4.83,-4.05,-3.46,-3.03,-2.71,-2.47,-2.28,-2.13,-2.01,-1.93,-1.86,-1.79,-1.72,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,166,19,1.458,00.000000,00.000000,,0:/DATA/Slb_24All_sep.rpp,1,0,13.25,42.0,16.17,49.2,2025/09/13 18:42:21,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,3.00,6.00,4.00,5.00,3.00,6.00,4.00,5.00,3.51,8.85,1.23,0.61,-16.27,51.899,93.000,tx rx 50%,500,6.28,400.000,173.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,7,5,6,0.00,0.00,0.00,0.00,0.00,0.00,false,20.13,-2.56,1.61,0.35,-0.09,-0.11,-0.26,-0.41,-0.52,-0.62,-0.69,-0.74,-0.77,-0.81,-0.84,-0.87,-0.90,-0.92,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,110,10,1.185,00.000000,00.000000,,0:/DATA/Slb_24All_sep.rpp,1,0,13.29,42.0,16.16,49.2,2025/09/13 18:42:28,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,4.00,7.00,5.00,6.00,4.00,7.00,5.00,6.00,3.34,13.78,1.97,7.60,97.17,49.573,93.384,tx rx 50%,500,6.28,400.000,2278.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,8,6,7,0.00,0.00,0.00,0.00,0.00,0.00,false,30.56,6.43,9.98,8.35,7.56,7.26,6.91,6.57,6.26,6.00,5.77,5.57,5.37,5.19,5.01,4.83,4.68,4.52,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,9,1,0.092,00.000000,00.000000,,0:/DATA/Slb_24All_sep.rpp,1,0,13.31,42.0,16.17,49.2,2025/09/13 18:42:35,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,5.00,8.00,6.00,7.00,5.00,8.00,6.00,7.00,3.58,16.01,1.80,9.13,46.52,38.775,68.031,tx rx 50%,500,6.28,400.000,2549.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,9,7,8,0.00,0.00,0.00,0.00,0.00,0.00,false,30.93,8.79,11.89,10.25,9.45,9.09,8.64,8.23,7.90,7.58,7.28,7.02,6.76,6.52,6.30,6.10,5.90,5.71,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,5,0,0.075,00.000000,00.000000,,0:/DATA/Slb_24All_sep.rpp,1,0,13.31,42.0,16.16,49.4,2025/09/13 18:42:42,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,6.00,9.00,7.00,8.00,6.00,9.00,7.00,8.00,3.97,4.05,0.55,2.45,-15.88,50.945,80.546,tx rx 50%,500,6.28,400.000,616.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,10,8,9,0.00,0.00,0.00,0.00,0.00,0.00,false,23.30,-0.19,3.67,2.32,1.81,1.72,1.52,1.36,1.25,1.14,1.03,0.94,0.86,0.79,0.72,0.66,0.60,0.56,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,7,1,0.090,00.000000,00.000000,,0:/DATA/Slb_24All_sep.rpp,1,0,13.30,42.0,16.16,49.4,2025/09/13 18:42:49,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,7.00,10.00,8.00,9.00,7.00,10.00,8.00,9.00,4.10,14.13,1.78,1.75,30.76,37.138,56.977,tx rx 50%,500,6.28,400.000,426.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,11,9,10,0.00,0.00,0.00,0.00,0.00,0.00,false,23.60,-0.21,3.48,1.98,1.33,1.14,0.85,0.61,0.43,0.27,0.12,-0.01,-0.12,-0.24,-0.34,-0.41,-0.48,-0.56,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,6,0,0.101,00.000000,00.000000,,0:/DATA/Slb_24All_sep.rpp,1,0,13.30,42.0,16.16,49.5,2025/09/13 18:42:56,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,8.00,11.00,9.00,10.00,8.00,11.00,9.00,10.00,5.32,0.46,1.34,4.68,-63.24,28.380,33.534,tx rx 50%,500,6.28,400.000,879.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,12,10,11,0.00,0.00,0.00,0.00,0.00,0.00,false,24.69,4.42,7.11,5.58,4.81,4.47,4.07,3.69,3.39,3.14,2.93,2.72,2.54,2.38,2.27,2.11,1.98,1.86,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,2,0.000,2,0,0.066,00.000000,00.000000,,0:/DATA/Slb_24All_sep.rpp,1,0,13.30,42.0,16.15,49.5,2025/09/13 18:43:04,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,9.00,12.00,10.00,11.00,9.00,12.00,10.00,11.00,4.06,4.03,0.88,2.56,-11.83,38.197,59.048,tx rx 50%,500,6.28,400.000,628.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,13,11,12,0.00,0.00,0.00,0.00,0.00,0.00,false,22.42,0.71,4.06,2.68,2.11,1.96,1.73,1.52,1.36,1.23,1.10,0.98,0.87,0.81,0.73,0.64,0.57,0.52,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,4,0,0.067,00.000000,00.000000,,0:/DATA/Slb_24All_sep.rpp,1,0,13.29,42.0,16.16,49.6,2025/09/13 18:43:09,0,1,0,0.0,0.00,0.0
